country;receptor;s_year;s_month;s_day;start;e_year;e_month;e_day;end;leader;office;description;election_year;lame_duck;gdpcapita;external_balance
Brazil;Portugal;2000;March;7;07/03/2000;2000;March;9;09/03/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Chile;2000;March;10;10/03/2000;2000;March;12;12/03/2000;Fernando Henrique Cardoso;President;Inauguration of Ricardo Lagos as President of Chile.;0;1;3726,81;-2,26367
Brazil;Costa Rica;2000;April;3;03/04/2000;2000;April;6;06/04/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Venezuela;2000;April;6;06/04/2000;2000;April;7;07/04/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Germany;2000;May;30;30/05/2000;2000;June;3;03/06/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;France;2000;June;3;03/06/2000;2000;June;6;06/06/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Colombia;2000;June;15;15/06/2000;2000;June;17;17/06/2000;Fernando Henrique Cardoso;President;XIV Meeting of Heads of State and Government ofthe Rio Group.;0;1;3726,81;-2,26367
Brazil;Argentina;2000;June;28;28/06/2000;2000;June;30;30/06/2000;Fernando Henrique Cardoso;President;XVIII Ordinary Meeting of the Common Market Counciland the Meeting of Heads of State of Mercosur.;0;1;3726,81;-2,26367
Brazil;Mozambique;2000;July;16;16/07/2000;2000;July;18;18/07/2000;Fernando Henrique Cardoso;President;III Conference of Heads of State and Government of theCommunity of Portuguese Speaking Countries.;0;1;3726,81;-2,26367
Brazil;Germany;2000;October;3;03/10/2000;2000;October;7;07/10/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Netherlands;2000;October;8;08/10/2000;2000;October;11;11/10/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Spain;2000;October;24;24/10/2000;2000;October;28;28/10/2000;Fernando Henrique Cardoso;President;State visit.;0;1;3726,81;-2,26367
Brazil;Panama;2000;November;17;17/11/2000;2000;November;18;18/11/2000;Fernando Henrique Cardoso;President;X summit of Heads of State and Government of the Ibero-American Conference.;0;1;3726,81;-2,26367
Brazil;Mexico;2000;November;29;29/11/2000;2000;December;2;02/12/2000;Fernando Henrique Cardoso;President;Inauguration of Vicente Fox as President of Mexico.;0;1;3726,81;-2,26367
Brazil;Bolivia;2000;December;8;08/12/2000;2000;December;8;08/12/2000;Fernando Henrique Cardoso;President;Working visit.;0;1;3726,81;-2,26367
Brazil;South Korea;2001;January;15;15/01/2001;2001;January;20;20/01/2001;Fernando Henrique Cardoso;President;State visit.While visitingSouth Korea'sborder withNorth Korea, he announced Brazil's willingness establish diplomatic relations with North Korea, making the beginning of relations conditional on North Korea's commitment not develop nuclear weapons.;0;1;3142,28;-2,19286
Brazil;United States;2001;March;29;29/03/2001;2001;March;31;31/03/2001;Fernando Henrique Cardoso;President;State visit.Meeting with President George W. Bush andTerry McAuliffe, Chairman ofthe Democratic Party.Audience with the President ofthe Inter-American Development BankEnrique Iglesias.;0;1;3142,28;-2,19286
Brazil;Canada;2001;April;19;19/04/2001;2001;April;22;22/04/2001;Fernando Henrique Cardoso;President;II summit of the Americas.;0;1;3142,28;-2,19286
Brazil;Paraguay;2001;June;21;21/06/2001;2001;June;22;22/06/2001;Fernando Henrique Cardoso;President;XX Ordinary Meeting of the Common Market Counciland the Meeting of Heads of State ofMercosur.;0;1;3142,28;-2,19286
Brazil;Bolivia;2001;June;26;26/06/2001;2001;June;28;28/06/2001;Fernando Henrique Cardoso;President;State visit.;0;1;3142,28;-2,19286
Brazil;Peru;2001;July;27;27/07/2001;2001;July;29;29/07/2001;Fernando Henrique Cardoso;President;Inauguration of Alejandro Toledo as President of Peru.;0;1;3142,28;-2,19286
Brazil;Venezuela;2001;August;13;13/08/2001;2001;August;13;13/08/2001;Fernando Henrique Cardoso;President;Inauguration of the electrical interconnection between Brazil and Venezuela.;0;1;3142,28;-2,19286
Brazil;Chile;2001;August;16;16/08/2001;2001;August;19;19/08/2001;Fernando Henrique Cardoso;President;XV Meeting of Heads of State and Government ofthe Rio Group.;0;1;3142,28;-2,19286
Brazil;Ecuador;2001;September;30;30/09/2001;2001;October;2;02/10/2001;Fernando Henrique Cardoso;President;State visit.;0;1;3142,28;-2,19286
Brazil;Spain;2001;October;25;25/10/2001;2001;October;28;28/10/2001;Fernando Henrique Cardoso;President;State visit.;0;1;3142,28;-2,19286
Brazil;France;2001;October;29;29/10/2001;2001;November;1;01/11/2001;Fernando Henrique Cardoso;President;State visit.;0;1;3142,28;-2,19286
Brazil;United States;2001;November;7;07/11/2001;2001;November;11;11/11/2001;Fernando Henrique Cardoso;President;Working visit.Participation in the opening of the General Debate of the 56th Session ofthe United Nations General Assemblyand meeting with President George W. Bush.;0;1;3142,28;-2,19286
Brazil;Peru;2001;November;23;23/11/2001;2001;November;24;24/11/2001;Fernando Henrique Cardoso;President;State visit.;0;1;3142,28;-2,19286
Brazil;Uruguay;2001;December;20;20/12/2001;2001;December;21;21/12/2001;Fernando Henrique Cardoso;President;XXI Ordinary Meeting of the Common Market Counciland summit of Heads of State of Mercosur.;0;1;3142,28;-2,19286
Brazil;Russia;2002;January;12;12/01/2002;2002;January;16;16/01/2002;Fernando Henrique Cardoso;President;State visit.;0;0;2824,68;0,84282
Brazil;Ukraine;2002;January;16;16/01/2002;2002;January;17;17/01/2002;Fernando Henrique Cardoso;President;State visit.;0;0;2824,68;0,84282
Brazil;Argentina;2002;February;17;17/02/2002;2002;February;18;18/02/2002;Fernando Henrique Cardoso;President;summit of Presidents of Mercosur, Bolivia and Chile.;0;0;2824,68;0,84282
Brazil;Sweden;2002;February;22;22/02/2002;2002;February;23;23/02/2002;Fernando Henrique Cardoso;President;Participation in the Stockholm Progressive summit.;0;0;2824,68;0,84282
Brazil;Poland;2002;February;25;25/02/2002;2002;February;26;26/02/2002;Fernando Henrique Cardoso;President;State visit.;0;0;2824,68;0,84282
Brazil;Slovakia;2002;February;26;26/02/2002;2002;February;26;26/02/2002;Fernando Henrique Cardoso;President;State visit.Received an honorarydoctoratefrom the Konstantin Filozof University.;0;0;2824,68;0,84282
Brazil;Chile;2002;March;17;17/03/2002;2002;March;20;20/03/2002;Fernando Henrique Cardoso;President;State visit.;0;0;2824,68;0,84282
Brazil;Portugal;2002;November;9;09/11/2002;2002;November;13;13/11/2002;Fernando Henrique Cardoso;President;VI Luso-Brazilian summit.;0;0;2824,68;0,84282
Brazil;United Kingdom;2002;November;13;13/11/2002;2002;November;14;14/11/2002;Fernando Henrique Cardoso;President;Working visit toOxford University.;0;0;2824,68;0,84282
Brazil;Dominican Republic;2002;November;14;14/11/2002;2002;November;16;16/11/2002;Fernando Henrique Cardoso;President;XII Ibero-American summit of Heads of State and Government.;0;0;2824,68;0,84282
Brazil;United States;2002;December;7;07/12/2002;2002;December;12;12/12/2002;Fernando Henrique Cardoso;President;Working visit receive the 2002 Mahbub U1 Haq Award for Outstanding Contribution Human Development, conferred by the UN Program for Human Development.;0;0;2824,68;0,84282
Brazil;Ecuador;2003;January;15;15/01/2003;2003;January;16;16/01/2003;Luiz Inácio Lula da Silva;President;First trip asPresident of Brazil.He participated in the inauguration ceremony of President-electLucio Gutiérrez.;0;0;3056,62;2,22118
Brazil;Switzerland;2003;January;24;24/01/2003;2003;January;25;25/01/2003;Luiz Inácio Lula da Silva;President;Participated in theWorld Economic Forum.;0;0;3056,62;2,22118
Brazil;Germany;2003;January;26;26/01/2003;2003;January;27;27/01/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;France;2003;January;28;28/01/2003;2003;January;29;29/01/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Peru;2003;May;22;22/05/2003;2003;May;23;23/05/2003;Luiz Inácio Lula da Silva;President;He participated in the Rio GroupHeads of State and Government summit.;0;0;3056,62;2,22118
Brazil;Argentina;2003;May;24;24/05/2003;2003;May;25;25/05/2003;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of the Argentine president-elect,Néstor Kirchner.;0;0;3056,62;2,22118
Brazil;Switzerland;2003;May;30;30/05/2003;2003;May;30;30/05/2003;Luiz Inácio Lula da Silva;President;"Participation in the ""Extended Dialogue on the eve of theG8 summit"".";0;0;3056,62;2,22118
Brazil;France;2003;June;1;01/06/2003;2003;June;1;01/06/2003;Luiz Inácio Lula da Silva;President;Participated in the G8 summit.;0;0;3056,62;2,22118
Brazil;Switzerland;2003;June;2;02/06/2003;2003;June;2;02/06/2003;Luiz Inácio Lula da Silva;President;Participated in the special session ofthe International Labor Organization.;0;0;3056,62;2,22118
Brazil;Colombia;2003;June;27;27/06/2003;2003;June;28;28/06/2003;Luiz Inácio Lula da Silva;President;Participation inthe Andean Pact.;0;0;3056,62;2,22118
Brazil;Portugal;2003;July;9;09/07/2003;2003;July;11;11/07/2003;Luiz Inácio Lula da Silva;President;State visit. ;0;0;3056,62;2,22118
Brazil;United Kindom;2003;July;12;12/07/2003;2003;July;14;14/07/2003;Luiz Inácio Lula da Silva;President;State visit. ;0;0;3056,62;2,22118
Brazil;Spain;2003;July;15;15/07/2003;2003;July;16;16/07/2003;Luiz Inácio Lula da Silva;President;State visit. ;0;0;3056,62;2,22118
Brazil;Paraguay;2003;August;14;14/08/2003;2003;August;15;15/08/2003;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of President-electNicanor Duarte and in theMercosurHeads of State summit.;0;0;3056,62;2,22118
Brazil;Peru;2003;August;24;24/08/2003;2003;August;25;25/08/2003;Luiz Inácio Lula da Silva;President;State visits.;0;0;3056,62;2,22118
Brazil;Venezuela;2003;August;26;26/08/2003;2003;August;27;27/08/2003;Luiz Inácio Lula da Silva;President;State visits.;0;0;3056,62;2,22118
Brazil;Colombia;2003;September;16;16/09/2003;2003;September;16;16/09/2003;Luiz Inácio Lula da Silva;President;Participated in the commemorative session of the 40th anniversary ofthe International Coffee Organization.;0;0;3056,62;2,22118
Brazil;United States;2003;September;22;22/09/2003;2003;September;23;23/09/2003;Luiz Inácio Lula da Silva;President;Participated inthe United Nations General Assembly.;0;0;3056,62;2,22118
Brazil;Mexico;2003;September;23;23/09/2003;2003;September;24;24/09/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Cuba;2003;September;25;25/09/2003;2003;September;26;26/09/2003;Luiz Inácio Lula da Silva;President;State visit.Meeting withFidel Castro.;0;0;3056,62;2,22118
Brazil;Spain;2003;October;24;24/10/2003;2003;October;24;24/10/2003;Luiz Inácio Lula da Silva;President;He participated in the Prince of Asturias Awardceremony.;0;0;3056,62;2,22118
Brazil;Sao Tome and Principe;2003;November;2;02/11/2003;2003;November;3;03/11/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Angola;2003;November;4;04/11/2003;2003;November;5;05/11/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Mozambique;2003;November;6;06/11/2003;2003;November;6;06/11/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Namibia;2003;November;7;07/11/2003;2003;November;7;07/11/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;South Africa;2003;November;8;08/11/2003;2003;November;8;08/11/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Bolivia;2003;November;14;14/11/2003;2003;November;15;15/11/2003;Luiz Inácio Lula da Silva;President;He participated in the summit meeting of Heads of state and government of theOrganization of Ibero-American States.;0;0;3056,62;2,22118
Brazil;Syria;2003;December;3;03/12/2003;2003;December;4;04/12/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Lebanon;2003;December;4;04/12/2003;2003;December;5;05/12/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;United Arab Emirates;2003;December;6;06/12/2003;2003;December;7;07/12/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Egypt;2003;December;8;08/12/2003;2003;December;9;09/12/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Libya;2003;December;9;09/12/2003;2003;December;10;10/12/2003;Luiz Inácio Lula da Silva;President;State visit.;0;0;3056,62;2,22118
Brazil;Uruguay;2003;December;15;15/12/2003;2003;December;16;16/12/2003;Luiz Inácio Lula da Silva;President;Participated in the summit meeting ofMercosurHeads of State .;0;0;3056,62;2,22118
Brazil;Mexico;2004;January;12;12/01/2004;2004;January;13;13/01/2004;Luiz Inácio Lula da Silva;President;Participated inthe Extraordinary summit of the Americas.;0;0;3623,25;3,41327
Brazil;India;2004;January;25;25/01/2004;2004;January;28;28/01/2004;Luiz Inácio Lula da Silva;President;State visit.Tribute toMahatma Gandhiat his memorial, meeting with Indian Prime MinisterAtal Bihari Vajpayeeand PresidentAPJ Abdul Kalam.Participated in the Republic Day celebrations.Met with politicians from India andSri Lanka.Inaugurated the Brazil-India Business forum.;0;0;3623,25;3,41327
Brazil;Switzerland;2004;January;29;29/01/2004;2004;January;30;30/01/2004;Luiz Inácio Lula da Silva;President;Meeting with investors and entrepreneurs.Meeting with the presidents ofChileandFrance.;0;0;3623,25;3,41327
Brazil;Venezuela;2004;February;26;26/02/2004;2004;February;27;27/02/2004;Luiz Inácio Lula da Silva;President;Participated in a joint meeting with Venezuelan PresidentHugo ChávezandArgentinePresidentNéstor Kirchner.He attended the G15summit.He met with the present ofIran,Mohammad Khatami.;0;0;3623,25;3,41327
Brazil;Ukraine;2004;May;22;22/05/2004;2004;May;22;22/05/2004;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentLeonid Kutchma.;0;0;3623,25;3,41327
